UniqueID,Rank,Pick,Team,Player,College,Years,Games,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WinShares,WS/48,BoxPlusMinus,VORP,MPG,PPG,RPG,APG,DraftYear
1,1,1,BRK,Derrick Coleman,Syracuse,15,781,25903,12884,7232,1985,0.447,0.295,0.769,64.3,0.119,1.4,22.3,33.2,16.5,9.3,2.5,1990
2,2,2,OKC,Gary Payton,Oregon State,17,1335,47117,21813,5269,8966,0.466,0.317,0.729,145.5,0.148,3.3,62.5,35.3,16.3,3.9,6.7,1990
3,3,3,DEN,Mahmoud Abdul-Rauf,LSU,9,586,15628,8553,1087,2079,0.442,0.354,0.905,25.2,0.077,-0.8,4.5,26.7,14.6,1.9,3.5,1990
4,4,4,ORL,Dennis Scott,Georgia Tech,10,629,17983,8094,1774,1296,0.417,0.397,0.793,33.4,0.089,0.2,9.9,28.6,12.9,2.8,2.1,1990
5,5,5,CHA,Kendall Gill,Illinois,15,966,29481,12914,4002,2945,0.434,0.3,0.754,47.8,0.078,0.1,15.8,30.5,13.4,4.1,3,1990
55,1,1,CHA,Larry Johnson,UNLV,10,707,25685,11450,5300,2298,0.484,0.332,0.766,69.7,0.13,1.4,22,36.3,16.2,7.5,3.3,1991
56,2,2,BRK,Kenny Anderson,Georgia Tech,14,858,25868,10789,2641,5196,0.421,0.346,0.79,62.5,0.116,1.4,21.9,30.1,12.6,3.1,6.1,1991
57,3,3,SAC,Billy Owens,Syracuse,10,600,17619,7026,4016,1704,0.481,0.291,0.629,28.6,0.078,-0.2,7.8,29.4,11.7,6.7,2.8,1991
58,4,4,DEN,Dikembe Mutombo,Georgetown,18,1196,36791,11729,12359,1240,0.518,0,0.684,117,0.153,1.7,33.9,30.8,9.8,10.3,1,1991
59,5,5,MIA,Steve Smith,Michigan State,14,942,28855,13430,3060,2922,0.44,0.358,0.845,83.7,0.139,1.4,24.6,30.6,14.3,3.2,3.1,1991
109,1,1,ORL,Shaquille O'Neal,LSU,19,1207,41918,28596,13099,3026,0.582,0.045,0.527,181.7,0.208,5.1,75.5,34.7,23.7,10.9,2.5,1992
110,2,2,CHA,Alonzo Mourning,Georgetown,15,838,25975,14311,7137,946,0.527,0.247,0.692,89.7,0.166,2.2,27.4,31,17.1,8.5,1.1,1992
111,3,3,MIN,Christian Laettner,Duke,13,868,25760,11121,5806,2224,0.48,0.261,0.82,64.9,0.121,1,19.5,29.7,12.8,6.7,2.6,1992
112,4,4,DAL,Jim Jackson,Ohio State,14,885,29067,12690,4152,2851,0.428,0.365,0.825,35.8,0.059,-0.9,8.2,32.8,14.3,4.7,3.2,1992
113,5,5,DEN,LaPhonso Ellis,Notre Dame,11,624,17616,7410,4032,981,0.452,0.302,0.73,32.8,0.089,-1,4.6,28.2,11.9,6.5,1.6,1992
163,1,1,ORL,Chris Webber,Michigan,15,831,30847,17182,8124,3526,0.479,0.299,0.649,84.7,0.132,3.4,42.1,37.1,20.7,9.8,4.2,1993
