UniqueID,Rank,Pick,Team,Player,College,Years,Games,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WinShares,WS/48,BoxPlusMinus,VORP,MPG,PPG,RPG,APG,DraftYear
1,1,1,BRK,Derrick Coleman,Syracuse,15,781,25903,12884,7232,1985,0.447,0.295,0.769,64.3,0.119,1.4,22.3,33.2,16.5,9.3,2.5,1990
55,1,1,CHA,Larry Johnson,UNLV,10,707,25685,11450,5300,2298,0.484,0.332,0.766,69.7,0.13,1.4,22,36.3,16.2,7.5,3.3,1991
109,1,1,ORL,Shaquille O'Neal,LSU,19,1207,41918,28596,13099,3026,0.582,0.045,0.527,181.7,0.208,5.1,75.5,34.7,23.7,10.9,2.5,1992
163,1,1,ORL,Chris Webber,Michigan,15,831,30847,17182,8124,3526,0.479,0.299,0.649,84.7,0.132,3.4,42.1,37.1,20.7,9.8,4.2,1993
217,1,1,MIL,Glenn Robinson,Purdue,11,688,25346,14234,4189,1879,0.459,0.34,0.82,39.8,0.075,0.1,13.5,36.8,20.7,6.1,2.7,1994
271,1,1,GSW,Joe Smith,Maryland,16,1030,27022,11208,6575,1010,0.455,0.238,0.79,60.3,0.107,-1.5,3,26.2,10.9,6.4,1,1995
329,1,1,PHI,Allen Iverson,Georgetown,14,914,37584,24368,3394,5624,0.425,0.313,0.78,99,0.126,3.2,49.6,41.1,26.7,3.7,6.2,1996
387,1,1,SAS,Tim Duncan,Wake Forest,19,1392,47368,26496,15091,4225,0.506,0.179,0.696,206.4,0.209,5.6,91.1,34,19,10.8,3,1997
444,1,1,LAC,Michael Olowokandi,University of the Pacific,9,500,13129,4135,3414,327,0.435,NA,0.597,2.5,0.009,-4.6,-8.5,26.3,8.3,6.8,0.7,1998
502,1,1,CHI,Elton Brand,Duke,17,1058,34910,16827,9040,2184,0.5,0.095,0.736,109.6,0.151,2.2,37.3,33,15.9,8.5,2.1,1999
560,1,1,BRK,Kenyon Martin,Cincinnati,15,757,23134,9325,5159,1439,0.483,0.234,0.629,48,0.1,0.1,12.1,30.6,12.3,6.8,1.9,2000
618,1,1,WAS,Kwame Brown,,12,607,13389,4035,3333,554,0.492,0.111,0.57,20.8,0.074,-2.4,-1.3,22.1,6.6,5.5,0.9,2001
675,1,1,HOU,Yao Ming,,8,486,15818,9247,4494,769,0.524,0.2,0.833,65.9,0.2,3.2,20.7,32.5,19,9.2,1.6,2002
732,1,1,CLE,LeBron James,,19,1351,51563,36559,10075,9962,0.505,0.345,0.734,248.3,0.231,8.9,141.4,38.2,27.1,7.5,7.4,2003
790,1,1,ORL,Dwight Howard,,18,1224,39092,19329,14499,1663,0.587,0.206,0.566,140.5,0.173,1.9,38.8,31.9,15.8,11.8,1.4,2004
849,1,1,MIL,Andrew Bogut,Utah,14,706,19862,6808,6112,1546,0.535,0.12,0.557,50.6,0.122,1.2,16,28.1,9.6,8.7,2.2,2005
909,1,1,TOR,Andrea Bargnani,,10,550,15806,7873,2541,653,0.439,0.354,0.824,18.9,0.057,-1.6,1.5,28.7,14.3,4.6,1.2,2006
969,1,1,POR,Greg Oden,Ohio State,3,105,2028,840,656,51,0.574,NA,0.658,7.3,0.174,-0.4,0.8,19.3,8,6.2,0.5,2007
1029,1,1,CHI,Derrick Rose,Memphis,13,672,21317,12230,2239,3646,0.457,0.316,0.83,44.2,0.1,1.4,18.4,31.7,18.2,3.3,5.4,2008
1089,1,1,LAC,Blake Griffin,Oklahoma,12,716,23730,14306,5935,2985,0.493,0.326,0.696,79.2,0.16,3.4,32.5,33.1,20,8.3,4.2,2009
1149,1,1,WAS,John Wall,Kentucky,10,613,21833,11702,2612,5557,0.431,0.323,0.779,44.1,0.097,2.4,24,35.6,19.1,4.3,9.1,2010
1209,1,1,CLE,Kyrie Irving,Duke,11,596,20220,13631,2279,3411,0.469,0.391,0.882,69.8,0.166,4.5,33.2,33.9,22.9,3.8,5.7,2011
1269,1,1,NOP,Anthony Davis,Kentucky,10,601,20698,14318,6129,1399,0.515,0.303,0.794,91.5,0.212,6,42,34.4,23.8,10.2,2.3,2012
1329,1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,0.5,0.013,-4.8,-1.3,12.6,4.4,3.1,0.5,2013
1389,1,1,CLE,Andrew Wiggins,Kansas,8,579,20319,11220,2553,1348,0.449,0.351,0.727,23.5,0.056,-1.5,2.6,35.1,19.4,4.4,2.3,2014
1449,1,1,MIN,Karl-Anthony Towns,Kentucky,7,460,15779,10621,5243,1424,0.527,0.396,0.833,63,0.192,4.8,27.2,34.3,23.1,11.4,3.1,2015
1509,1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,0.56,0.147,0.597,30.4,0.156,3.7,13.5,33.9,15.9,8.1,7.7,2016
1569,1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,0.447,0.265,0.695,3.1,0.052,-2.2,-0.2,25.6,10.9,3.3,4.6,2017
1629,1,1,PHO,Deandre Ayton,Arizona,4,215,6610,3455,2272,349,0.595,0.196,0.751,22.1,0.161,1.1,5.2,30.7,16.1,10.6,1.6,2018
1689,1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,10.6,0.189,4.9,4.7,31.7,25.7,7,3.2,2019
1749,1,1,MIN,Anthony Edwards,Georgia,2,125,4148,2551,589,400,0.425,0.341,0.776,3.9,0.045,-0.7,1.4,33.2,20.4,4.7,3.2,2020
1809,1,1,DET,Cade Cunningham,Oklahoma State,1,44,1400,692,241,227,0.394,0.327,0.856,-0.8,-0.028,-2.4,-0.1,31.8,15.7,5.5,5.2,2021
